cusip,asset_class_type_cd,ISSUER_INDUSTRY,MTG_AMORT_TYPE_LEVEL_FRM_CURR,MTG_TYPE,MTG_PREPAY_TYP,SECURITY_TYP,SECURITY_TYP2,CPN_TYP,MARKET_SECTOR_DES,MTG_COLLAT_TYP,tax_code_c,bank_qualified_i,dated_date_d,capital_purpose_c
920284GH3,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,10/15/15,NEW
920729HA1,MUNITAX,BAB,,,,FIXED,,FIXED,Muni,,TAX,N,5/28/09,NEW
921594P50,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,7/16/15,REF
83165ASE5,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165ASH8,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165ASK1,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165ATH7,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165ATR5,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165AU85,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
91412GZP3,MUNIBE,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,8/27/09,NEW
914148HV6,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,12/30/14,REF
914174CW5,MUNIGM,MED,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,8/6/09,REF
91428LFS0,MUNITAX,BAB,,,,FIXED,,FIXED,Muni,,TAX,N,10/7/10,NEW
914301H90,MUNIGM,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,2/1/09,REF
914302BE3,MUNIGM,HGR,,,,FIXED,,FIXED,Muni,,EXMP,N,12/15/11,REF
949323JV2,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,1/25/17,NEW
949746RS2,USCORP,BANK,,,,GLOBAL,,FIXED,Corp,,,,,
94974BFN5,USCORP,BANK,,,,GLOBAL,,FIXED,Corp,,,,,
94980XAB0,PLMBS,,0,"CSTR,PT+",PSA,Prvt CMO Other,Whole Loan,VARIABLE,Mtge,WHARM3.6,,,,
949837BY3,PLMBS,,100,"AD,SEQ+",CPR,Prvt CMO Other,Whole Loan,FIXED,Mtge,WH30 5.9,,,,
94986XAB4,PLMBS,,37.3873,"SC,CSTR+",,Prvt CMO Other,Whole Loan,VARIABLE,Mtge,WHARM3.5,,,,
83165AUC6,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165AUJ1,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165AWW0,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165AWX8,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165AYA6,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
83165AYN8,SBAARM,,,,CPR,SBA Pool,Pool,VARIABLE,Mtge,SBA,,,,
